Event Category,Event Name,DataLayer Variable,Data Type,Required,Description,Example Value,GTM Variable Name,GA4 Parameter Mapping
# ===========================================
# GA4 RECOMMENDED EVENTS - CORE
# ===========================================
Core,page_view,event,string,Yes,Page view tracking event,page_view,{{Event}},event
Core,page_view,page_title,string,No,Title of the page,Home Page,{{DLV - page_title}},page_title
Core,page_view,page_location,string,No,Full URL of the page,https://example.com/page,{{DLV - page_location}},page_location
Core,page_view,page_path,string,No,Path portion of the URL,/page,{{Page Path}},page_path
Core,page_view,send_to,string,No,GA4 measurement ID for routing,G-XXXXXXXX,{{DLV - send_to}},send_to
Core,screen_view,event,string,Yes,Screen view for mobile/SPA apps,screen_view,{{Event}},event
Core,screen_view,screen_name,string,Yes,Name of the screen,Dashboard,{{DLV - screen_name}},screen_name
Core,screen_view,screen_class,string,No,Screen class/component name,DashboardScreen,{{DLV - screen_class}},screen_class
Core,scroll,event,string,Yes,Scroll tracking event,scroll,{{Event}},event
Core,scroll,percent_scrolled,number,No,Percentage of page scrolled (0-100),75,{{DLV - percent_scrolled}},percent_scrolled
Core,login,event,string,Yes,User login tracking,login,{{Event}},event
Core,login,method,string,No,Login method used,google,{{DLV - method}},method
Core,sign_up,event,string,Yes,User registration tracking,sign_up,{{Event}},event
Core,sign_up,method,string,No,Registration method used,email,{{DLV - method}},method
Core,search,event,string,Yes,Site search tracking,search,{{Event}},event
Core,search,search_term,string,Yes,Search query entered,wireless headphones,{{DLV - search_term}},search_term
Core,select_content,event,string,Yes,Content selection tracking,select_content,{{Event}},event
Core,select_content,content_type,string,No,Type of content selected,article,{{DLV - content_type}},content_type
Core,select_content,item_id,string,No,ID of the content item,article_123,{{DLV - item_id}},item_id
Core,share,event,string,Yes,Content sharing tracking,share,{{Event}},event
Core,share,method,string,No,Share method/platform,twitter,{{DLV - method}},method
Core,share,content_type,string,No,Type of content shared,product,{{DLV - content_type}},content_type
Core,share,item_id,string,No,ID of shared item,SKU-001,{{DLV - item_id}},item_id
Core,generate_lead,event,string,Yes,Lead generation event,generate_lead,{{Event}},event
Core,generate_lead,currency,string,No,Currency code (ISO 4217),USD,{{DLV - currency}},currency
Core,generate_lead,value,number,No,Estimated lead value,100,{{DLV - value}},value
Core,view_search_results,event,string,Yes,Search results view,view_search_results,{{Event}},event
Core,view_search_results,search_term,string,Yes,Search query that produced results,wireless headphones,{{DLV - search_term}},search_term
Core,conversion,event,string,Yes,Google Ads conversion,conversion,{{Event}},event
Core,conversion,send_to,string,Yes,Ads conversion ID,AW-123456789/AbC123,{{DLV - send_to}},send_to
Core,conversion,value,number,No,Conversion value,99.99,{{DLV - value}},value
Core,conversion,currency,string,No,Currency code,USD,{{DLV - currency}},currency
Core,conversion,transaction_id,string,No,Transaction identifier,TXN-12345,{{DLV - transaction_id}},transaction_id
# ===========================================
# ECOMMERCE EVENTS
# ===========================================
Ecommerce,view_item,event,string,Yes,Product page view,view_item,{{Event}},event
Ecommerce,view_item,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,view_item,ecommerce.value,number,Yes,Total value of items,29.99,{{DLV - ecommerce.value}},value
Ecommerce,view_item,ecommerce.items,array,Yes,Array of item objects,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,view_item_list,event,string,Yes,Product list/category view,view_item_list,{{Event}},event
Ecommerce,view_item_list,ecommerce.item_list_id,string,No,List identifier,featured_products,{{DLV - ecommerce.item_list_id}},item_list_id
Ecommerce,view_item_list,ecommerce.item_list_name,string,No,List display name,Featured Products,{{DLV - ecommerce.item_list_name}},item_list_name
Ecommerce,view_item_list,ecommerce.items,array,Yes,Array of item objects,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,select_item,event,string,Yes,Product click in list,select_item,{{Event}},event
Ecommerce,select_item,ecommerce.item_list_id,string,No,List where item was clicked,search_results,{{DLV - ecommerce.item_list_id}},item_list_id
Ecommerce,select_item,ecommerce.items,array,Yes,Array with clicked item,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,add_to_cart,event,string,Yes,Add item to cart,add_to_cart,{{Event}},event
Ecommerce,add_to_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,add_to_cart,ecommerce.value,number,Yes,Value of items added,59.98,{{DLV - ecommerce.value}},value
Ecommerce,add_to_cart,ecommerce.items,array,Yes,Items added to cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,remove_from_cart,event,string,Yes,Remove item from cart,remove_from_cart,{{Event}},event
Ecommerce,remove_from_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,remove_from_cart,ecommerce.value,number,Yes,Value of items removed,29.99,{{DLV - ecommerce.value}},value
Ecommerce,remove_from_cart,ecommerce.items,array,Yes,Items removed from cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,view_cart,event,string,Yes,Cart page view,view_cart,{{Event}},event
Ecommerce,view_cart,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,view_cart,ecommerce.value,number,Yes,Total cart value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,view_cart,ecommerce.items,array,Yes,All items in cart,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,begin_checkout,event,string,Yes,Checkout initiated,begin_checkout,{{Event}},event
Ecommerce,begin_checkout,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,begin_checkout,ecommerce.value,number,Yes,Total checkout value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,begin_checkout,ecommerce.coupon,string,No,Coupon applied,SAVE10,{{DLV - ecommerce.coupon}},coupon
Ecommerce,begin_checkout,ecommerce.items,array,Yes,Items in checkout,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,add_shipping_info,event,string,Yes,Shipping info added,add_shipping_info,{{Event}},event
Ecommerce,add_shipping_info,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,add_shipping_info,ecommerce.value,number,Yes,Order value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,add_shipping_info,ecommerce.shipping_tier,string,No,Shipping method selected,express,{{DLV - ecommerce.shipping_tier}},shipping_tier
Ecommerce,add_shipping_info,ecommerce.items,array,Yes,Items being shipped,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,add_payment_info,event,string,Yes,Payment info added,add_payment_info,{{Event}},event
Ecommerce,add_payment_info,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,add_payment_info,ecommerce.value,number,Yes,Order value,89.97,{{DLV - ecommerce.value}},value
Ecommerce,add_payment_info,ecommerce.payment_type,string,No,Payment method selected,credit_card,{{DLV - ecommerce.payment_type}},payment_type
Ecommerce,add_payment_info,ecommerce.items,array,Yes,Items being purchased,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,purchase,event,string,Yes,Purchase completed,purchase,{{Event}},event
Ecommerce,purchase,ecommerce.transaction_id,string,Yes,Unique transaction ID,TXN-12345,{{DLV - ecommerce.transaction_id}},transaction_id
Ecommerce,purchase,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,purchase,ecommerce.value,number,Yes,Total purchase value,99.97,{{DLV - ecommerce.value}},value
Ecommerce,purchase,ecommerce.tax,number,No,Tax amount,8.00,{{DLV - ecommerce.tax}},tax
Ecommerce,purchase,ecommerce.shipping,number,No,Shipping cost,5.99,{{DLV - ecommerce.shipping}},shipping
Ecommerce,purchase,ecommerce.coupon,string,No,Coupon code used,SAVE10,{{DLV - ecommerce.coupon}},coupon
Ecommerce,purchase,ecommerce.affiliation,string,No,Store/affiliate name,Main Store,{{DLV - ecommerce.affiliation}},affiliation
Ecommerce,purchase,ecommerce.items,array,Yes,Items purchased,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,refund,event,string,Yes,Refund processed,refund,{{Event}},event
Ecommerce,refund,ecommerce.transaction_id,string,Yes,Original transaction ID,TXN-12345,{{DLV - ecommerce.transaction_id}},transaction_id
Ecommerce,refund,ecommerce.currency,string,Yes,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,refund,ecommerce.value,number,Yes,Refund amount,29.99,{{DLV - ecommerce.value}},value
Ecommerce,refund,ecommerce.items,array,No,Items refunded (partial refund),[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
Ecommerce,view_promotion,event,string,Yes,Promotion impression,view_promotion,{{Event}},event
Ecommerce,view_promotion,ecommerce.items,array,Yes,Promotion items with creative info,[{promotion_id: 'summer_sale'}],{{DLV - ecommerce.items}},items
Ecommerce,select_promotion,event,string,Yes,Promotion clicked,select_promotion,{{Event}},event
Ecommerce,select_promotion,ecommerce.items,array,Yes,Clicked promotion item,[{promotion_id: 'summer_sale'}],{{DLV - ecommerce.items}},items
Ecommerce,add_to_wishlist,event,string,Yes,Item added to wishlist,add_to_wishlist,{{Event}},event
Ecommerce,add_to_wishlist,ecommerce.currency,string,No,Currency code,USD,{{DLV - ecommerce.currency}},currency
Ecommerce,add_to_wishlist,ecommerce.value,number,No,Value of items,29.99,{{DLV - ecommerce.value}},value
Ecommerce,add_to_wishlist,ecommerce.items,array,Yes,Items added to wishlist,[{item_id: 'SKU-001'}],{{DLV - ecommerce.items}},items
# ===========================================
# ECOMMERCE ITEM OBJECT PROPERTIES
# ===========================================
Ecommerce Item,items[n],item_id,string,Yes*,SKU or product ID,SKU-001,{{DLV - ecommerce.items}}.item_id,item_id
Ecommerce Item,items[n],item_name,string,Yes*,Product name,Wireless Headphones,{{DLV - ecommerce.items}}.item_name,item_name
Ecommerce Item,items[n],item_brand,string,No,Brand name,Sony,{{DLV - ecommerce.items}}.item_brand,item_brand
Ecommerce Item,items[n],item_category,string,No,Primary category,Electronics,{{DLV - ecommerce.items}}.item_category,item_category
Ecommerce Item,items[n],item_category2,string,No,Second-level category,Audio,{{DLV - ecommerce.items}}.item_category2,item_category2
Ecommerce Item,items[n],item_category3,string,No,Third-level category,Headphones,{{DLV - ecommerce.items}}.item_category3,item_category3
Ecommerce Item,items[n],item_category4,string,No,Fourth-level category,Wireless,{{DLV - ecommerce.items}}.item_category4,item_category4
Ecommerce Item,items[n],item_category5,string,No,Fifth-level category,Over-ear,{{DLV - ecommerce.items}}.item_category5,item_category5
Ecommerce Item,items[n],item_variant,string,No,Product variant,Black,{{DLV - ecommerce.items}}.item_variant,item_variant
Ecommerce Item,items[n],price,number,No,Unit price,29.99,{{DLV - ecommerce.items}}.price,price
Ecommerce Item,items[n],quantity,number,No,Quantity,2,{{DLV - ecommerce.items}}.quantity,quantity
Ecommerce Item,items[n],coupon,string,No,Item-level coupon,ITEM10OFF,{{DLV - ecommerce.items}}.coupon,coupon
Ecommerce Item,items[n],discount,number,No,Discount amount,5.00,{{DLV - ecommerce.items}}.discount,discount
Ecommerce Item,items[n],index,number,No,Position in list (0-based),0,{{DLV - ecommerce.items}}.index,index
Ecommerce Item,items[n],item_list_id,string,No,List ID where item appeared,search_results,{{DLV - ecommerce.items}}.item_list_id,item_list_id
Ecommerce Item,items[n],item_list_name,string,No,List name,Search Results,{{DLV - ecommerce.items}}.item_list_name,item_list_name
Ecommerce Item,items[n],promotion_id,string,No,Promotion ID,summer_sale,{{DLV - ecommerce.items}}.promotion_id,promotion_id
Ecommerce Item,items[n],promotion_name,string,No,Promotion name,Summer Sale 2024,{{DLV - ecommerce.items}}.promotion_name,promotion_name
Ecommerce Item,items[n],creative_name,string,No,Creative/banner name,hero_banner,{{DLV - ecommerce.items}}.creative_name,creative_name
Ecommerce Item,items[n],creative_slot,string,No,Creative slot position,banner_1,{{DLV - ecommerce.items}}.creative_slot,creative_slot
# ===========================================
# BOOKING / RESERVATION EVENTS
# ===========================================
Booking,booking_requested,event,string,Yes,Booking request initiated,booking_requested,{{Event}},event
Booking,booking_requested,booking_id,string,No,Booking reference number,BK-12345,{{DLV - booking_id}},booking_id
Booking,booking_requested,booking_type,string,No,Type: hotel/flight/restaurant/appointment,hotel,{{DLV - booking_type}},booking_type
Booking,booking_requested,value,number,No,Booking value,450.00,{{DLV - value}},value
Booking,booking_requested,currency,string,No,Currency code,USD,{{DLV - currency}},currency
Booking,booking_confirmed,event,string,Yes,Booking confirmed,booking_confirmed,{{Event}},event
Booking,booking_confirmed,booking_id,string,Yes,Booking reference number,BK-12345,{{DLV - booking_id}},booking_id
Booking,booking_confirmed,booking_type,string,No,Type of booking,hotel,{{DLV - booking_type}},booking_type
Booking,booking_confirmed,check_in_date,string,No,Check-in/start date (ISO 8601),2024-03-15,{{DLV - check_in_date}},check_in_date
Booking,booking_confirmed,check_out_date,string,No,Check-out/end date (ISO 8601),2024-03-18,{{DLV - check_out_date}},check_out_date
Booking,booking_confirmed,guests,number,No,Number of guests,2,{{DLV - guests}},guests
Booking,booking_confirmed,nights,number,No,Number of nights (hotels),3,{{DLV - nights}},nights
Booking,booking_confirmed,room_type,string,No,Room/service type,deluxe_suite,{{DLV - room_type}},room_type
Booking,booking_confirmed,value,number,No,Total booking value,450.00,{{DLV - value}},value
Booking,booking_confirmed,currency,string,No,Currency code,USD,{{DLV - currency}},currency
Booking,booking_confirmed,location,string,No,Location/destination,New York,{{DLV - location}},location
Booking,booking_confirmed,provider,string,No,Service provider name,Marriott,{{DLV - provider}},provider
Booking,booking_confirmed,lead_time_days,number,No,Days in advance,14,{{DLV - lead_time_days}},lead_time_days
Booking,booking_cancelled,event,string,Yes,Booking cancelled,booking_cancelled,{{Event}},event
Booking,booking_cancelled,booking_id,string,Yes,Booking reference number,BK-12345,{{DLV - booking_id}},booking_id
Booking,booking_cancelled,cancellation_reason,string,No,Reason for cancellation,change_of_plans,{{DLV - cancellation_reason}},cancellation_reason
Booking,booking_cancelled,value,number,No,Cancelled booking value,450.00,{{DLV - value}},value
Booking,booking_modified,event,string,Yes,Booking modified,booking_modified,{{Event}},event
Booking,booking_modified,booking_id,string,Yes,Booking reference number,BK-12345,{{DLV - booking_id}},booking_id
Booking,reservation_created,event,string,Yes,Reservation created (restaurants/services),reservation_created,{{Event}},event
Booking,reservation_created,booking_id,string,No,Reservation ID,RES-12345,{{DLV - booking_id}},booking_id
Booking,reservation_created,party_size,number,No,Party size,4,{{DLV - party_size}},party_size
Booking,reservation_created,start_time,string,No,Reservation time,19:00,{{DLV - start_time}},start_time
Booking,reservation_confirmed,event,string,Yes,Reservation confirmed,reservation_confirmed,{{Event}},event
Booking,reservation_cancelled,event,string,Yes,Reservation cancelled,reservation_cancelled,{{Event}},event
Booking,appointment_scheduled,event,string,Yes,Appointment scheduled,appointment_scheduled,{{Event}},event
Booking,appointment_scheduled,booking_id,string,No,Appointment ID,APT-12345,{{DLV - booking_id}},booking_id
Booking,appointment_scheduled,service_type,string,No,Type of appointment,consultation,{{DLV - service_type}},service_type
Booking,appointment_scheduled,start_date,string,No,Appointment date,2024-03-15,{{DLV - start_date}},start_date
Booking,appointment_scheduled,start_time,string,No,Appointment time,14:00,{{DLV - start_time}},start_time
Booking,appointment_cancelled,event,string,Yes,Appointment cancelled,appointment_cancelled,{{Event}},event
Booking,appointment_rescheduled,event,string,Yes,Appointment rescheduled,appointment_rescheduled,{{Event}},event
# ===========================================
# VIDEO TRACKING EVENTS
# ===========================================
Video,video_start,event,string,Yes,Video playback started,video_start,{{Event}},event
Video,video_start,video_id,string,Yes,Unique video identifier,abc123,{{DLV - video_id}},video_id
Video,video_start,video_title,string,No,Video title,Product Demo,{{DLV - video_title}},video_title
Video,video_start,video_provider,string,No,Provider: youtube/vimeo/html5,youtube,{{DLV - video_provider}},video_provider
Video,video_start,video_duration,number,No,Total duration in seconds,240,{{DLV - video_duration}},video_duration
Video,video_start,video_url,string,No,Video URL,https://youtube.com/watch?v=abc123,{{DLV - video_url}},video_url
Video,video_progress,event,string,Yes,Video progress milestone,video_progress,{{Event}},event
Video,video_progress,video_id,string,Yes,Video identifier,abc123,{{DLV - video_id}},video_id
Video,video_progress,video_percent,number,Yes,Percentage watched (0-100),25,{{DLV - video_percent}},video_percent
Video,video_progress,video_current_time,number,No,Current position in seconds,60,{{DLV - video_current_time}},video_current_time
Video,video_progress,video_duration,number,No,Total duration in seconds,240,{{DLV - video_duration}},video_duration
Video,video_complete,event,string,Yes,Video playback completed,video_complete,{{Event}},event
Video,video_complete,video_id,string,Yes,Video identifier,abc123,{{DLV - video_id}},video_id
Video,video_complete,video_duration,number,No,Total duration in seconds,240,{{DLV - video_duration}},video_duration
Video,video_pause,event,string,Yes,Video paused,video_pause,{{Event}},event
Video,video_pause,video_id,string,Yes,Video identifier,abc123,{{DLV - video_id}},video_id
Video,video_pause,video_current_time,number,No,Position where paused,120,{{DLV - video_current_time}},video_current_time
Video,video_resume,event,string,Yes,Video resumed from pause,video_resume,{{Event}},event
Video,video_seek,event,string,Yes,User seeked in video,video_seek,{{Event}},event
Video,video_seek,video_id,string,Yes,Video identifier,abc123,{{DLV - video_id}},video_id
Video,video_seek,video_current_time,number,No,Position seeked to,180,{{DLV - video_current_time}},video_current_time
Video,video_error,event,string,Yes,Video playback error,video_error,{{Event}},event
Video,video_error,video_id,string,Yes,Video identifier,abc123,{{DLV - video_id}},video_id
Video,video_error,video_error_message,string,No,Error message,Failed to load video,{{DLV - video_error_message}},video_error_message
Video,video_quality_change,event,string,Yes,Video quality changed,video_quality_change,{{Event}},event
Video,video_quality_change,video_quality,string,No,New quality: 1080p/720p/480p/auto,720p,{{DLV - video_quality}},video_quality
Video,video_fullscreen,event,string,Yes,Fullscreen toggled,video_fullscreen,{{Event}},event
Video,video_fullscreen,video_fullscreen,boolean,No,Whether now fullscreen,true,{{DLV - video_fullscreen}},video_fullscreen
# ===========================================
# FORM TRACKING EVENTS
# ===========================================
Form,form_start,event,string,Yes,User started filling form,form_start,{{Event}},event
Form,form_start,form_id,string,Yes,Form HTML ID or identifier,contact-form,{{DLV - form_id}},form_id
Form,form_start,form_name,string,No,Human-readable form name,Contact Us,{{DLV - form_name}},form_name
Form,form_start,form_type,string,No,Type: contact/signup/checkout/survey,contact,{{DLV - form_type}},form_type
Form,form_start,form_destination,string,No,Form action URL,/api/contact,{{DLV - form_destination}},form_destination
Form,form_start,form_fields_count,number,No,Number of form fields,5,{{DLV - form_fields_count}},form_fields_count
Form,form_field_focus,event,string,Yes,User focused on a field,form_field_focus,{{Event}},event
Form,form_field_focus,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_field_focus,field_name,string,Yes,Field name attribute,email,{{DLV - field_name}},field_name
Form,form_field_focus,field_type,string,No,Field type: text/email/tel/select,email,{{DLV - field_type}},field_type
Form,form_field_focus,field_label,string,No,Field label text,Email Address,{{DLV - field_label}},field_label
Form,form_field_focus,field_position,number,No,Field position in form (1-indexed),3,{{DLV - field_position}},field_position
Form,form_field_blur,event,string,Yes,User left a field,form_field_blur,{{Event}},event
Form,form_field_change,event,string,Yes,Field value changed,form_field_change,{{Event}},event
Form,form_error,event,string,Yes,Form validation error occurred,form_error,{{Event}},event
Form,form_error,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_error,field_name,string,No,Field with error,email,{{DLV - field_name}},field_name
Form,form_error,error_type,string,No,Error type: validation/server/network,validation,{{DLV - error_type}},error_type
Form,form_error,error_message,string,No,Error message displayed,Invalid email format,{{DLV - error_message}},error_message
Form,form_error,error_count,number,No,Number of errors on form,3,{{DLV - error_count}},error_count
Form,form_submit,event,string,Yes,Form submission attempted,form_submit,{{Event}},event
Form,form_submit,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_submit,form_name,string,No,Form name,Contact Us,{{DLV - form_name}},form_name
Form,form_submit,submission_attempt,number,No,Attempt number,1,{{DLV - submission_attempt}},submission_attempt
Form,form_submit_success,event,string,Yes,Form submitted successfully,form_submit_success,{{Event}},event
Form,form_submit_success,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_submit_success,time_to_complete_ms,number,No,Time to fill form in ms,45000,{{DLV - time_to_complete_ms}},time_to_complete_ms
Form,form_submit_success,value,number,No,Lead value (if applicable),500,{{DLV - value}},value
Form,form_submit_success,currency,string,No,Currency for lead value,USD,{{DLV - currency}},currency
Form,form_submit_failure,event,string,Yes,Form submission failed,form_submit_failure,{{Event}},event
Form,form_submit_failure,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_submit_failure,error_type,string,No,Failure reason: server/network/validation,server,{{DLV - error_type}},error_type
Form,form_submit_failure,error_message,string,No,Error message,Server error,{{DLV - error_message}},error_message
Form,form_abandon,event,string,Yes,User abandoned form,form_abandon,{{Event}},event
Form,form_abandon,form_id,string,Yes,Form identifier,contact-form,{{DLV - form_id}},form_id
Form,form_abandon,form_fields_filled,number,No,Fields filled before abandoning,2,{{DLV - form_fields_filled}},form_fields_filled
Form,form_abandon,time_to_complete_ms,number,No,Time spent on form,15000,{{DLV - time_to_complete_ms}},time_to_complete_ms
Form,form_step_complete,event,string,Yes,Multi-step form step completed,form_step_complete,{{Event}},event
Form,form_step_complete,form_id,string,Yes,Form identifier,checkout-form,{{DLV - form_id}},form_id
Form,form_step_complete,form_step,number,Yes,Completed step number,2,{{DLV - form_step}},form_step
Form,form_step_complete,form_total_steps,number,No,Total steps in form,4,{{DLV - form_total_steps}},form_total_steps
Form,form_step_complete,form_step_name,string,No,Step name,Shipping Information,{{DLV - form_step_name}},form_step_name
# ===========================================
# SAAS / SUBSCRIPTION EVENTS
# ===========================================
SaaS,trial_start,event,string,Yes,Trial period started,trial_start,{{Event}},event
SaaS,trial_start,plan_id,string,No,Plan identifier,pro_trial,{{DLV - plan_id}},plan_id
SaaS,trial_start,plan_name,string,No,Plan display name,Pro Trial,{{DLV - plan_name}},plan_name
SaaS,trial_start,trial_days,number,No,Trial duration in days,14,{{DLV - trial_days}},trial_days
SaaS,trial_end,event,string,Yes,Trial period ended,trial_end,{{Event}},event
SaaS,trial_end,plan_id,string,No,Plan identifier,pro_trial,{{DLV - plan_id}},plan_id
SaaS,trial_end,trial_converted,boolean,No,Whether user converted,true,{{DLV - trial_converted}},trial_converted
SaaS,trial_convert,event,string,Yes,Trial converted to paid,trial_convert,{{Event}},event
SaaS,trial_convert,plan_id,string,Yes,Converted plan ID,pro_monthly,{{DLV - plan_id}},plan_id
SaaS,trial_convert,plan_name,string,No,Plan name,Pro Monthly,{{DLV - plan_name}},plan_name
SaaS,trial_convert,value,number,No,Subscription value,29.99,{{DLV - value}},value
SaaS,trial_convert,currency,string,No,Currency code,USD,{{DLV - currency}},currency
SaaS,subscription_start,event,string,Yes,New subscription started,subscription_start,{{Event}},event
SaaS,subscription_start,subscription_id,string,No,Subscription identifier,sub_abc123,{{DLV - subscription_id}},subscription_id
SaaS,subscription_start,plan_id,string,Yes,Plan identifier,pro_monthly,{{DLV - plan_id}},plan_id
SaaS,subscription_start,plan_name,string,No,Plan display name,Pro Monthly,{{DLV - plan_name}},plan_name
SaaS,subscription_start,plan_tier,string,No,Tier: free/starter/pro/enterprise,pro,{{DLV - plan_tier}},plan_tier
SaaS,subscription_start,billing_period,string,No,Billing: monthly/yearly/lifetime,monthly,{{DLV - billing_period}},billing_period
SaaS,subscription_start,value,number,No,Subscription price,29.99,{{DLV - value}},value
SaaS,subscription_start,mrr,number,No,Monthly recurring revenue,29.99,{{DLV - mrr}},mrr
SaaS,subscription_start,currency,string,No,Currency code,USD,{{DLV - currency}},currency
SaaS,subscription_start,trial_converted,boolean,No,Was this a trial conversion,true,{{DLV - trial_converted}},trial_converted
SaaS,subscription_start,coupon,string,No,Discount code applied,SAVE20,{{DLV - coupon}},coupon
SaaS,subscription_start,payment_method,string,No,Payment method used,credit_card,{{DLV - payment_method}},payment_method
SaaS,subscription_cancel,event,string,Yes,Subscription cancelled,subscription_cancel,{{Event}},event
SaaS,subscription_cancel,subscription_id,string,No,Subscription identifier,sub_abc123,{{DLV - subscription_id}},subscription_id
SaaS,subscription_cancel,plan_id,string,No,Cancelled plan ID,pro_monthly,{{DLV - plan_id}},plan_id
SaaS,subscription_cancel,cancellation_reason,string,No,Reason for cancellation,too_expensive,{{DLV - cancellation_reason}},cancellation_reason
SaaS,subscription_cancel,mrr,number,No,Lost MRR,29.99,{{DLV - mrr}},mrr
SaaS,subscription_renew,event,string,Yes,Subscription renewed,subscription_renew,{{Event}},event
SaaS,subscription_renew,subscription_id,string,No,Subscription identifier,sub_abc123,{{DLV - subscription_id}},subscription_id
SaaS,subscription_renew,value,number,No,Renewal value,29.99,{{DLV - value}},value
SaaS,subscription_upgrade,event,string,Yes,Subscription upgraded,subscription_upgrade,{{Event}},event
SaaS,subscription_upgrade,subscription_id,string,No,Subscription identifier,sub_abc123,{{DLV - subscription_id}},subscription_id
SaaS,subscription_upgrade,previous_plan_id,string,No,Previous plan ID,starter_monthly,{{DLV - previous_plan_id}},previous_plan_id
SaaS,subscription_upgrade,plan_id,string,Yes,New plan ID,pro_monthly,{{DLV - plan_id}},plan_id
SaaS,subscription_upgrade,is_upgrade,boolean,No,Upgrade indicator,true,{{DLV - is_upgrade}},is_upgrade
SaaS,subscription_upgrade,value,number,No,New subscription value,29.99,{{DLV - value}},value
SaaS,subscription_downgrade,event,string,Yes,Subscription downgraded,subscription_downgrade,{{Event}},event
SaaS,subscription_downgrade,previous_plan_id,string,No,Previous plan ID,pro_monthly,{{DLV - previous_plan_id}},previous_plan_id
SaaS,subscription_downgrade,plan_id,string,Yes,New plan ID,starter_monthly,{{DLV - plan_id}},plan_id
SaaS,subscription_downgrade,is_downgrade,boolean,No,Downgrade indicator,true,{{DLV - is_downgrade}},is_downgrade
SaaS,subscription_pause,event,string,Yes,Subscription paused,subscription_pause,{{Event}},event
SaaS,subscription_resume,event,string,Yes,Subscription resumed,subscription_resume,{{Event}},event
