Event Category,Event Name,DataLayer Variable,Data Type,Required,Description,Example Value,GTM Variable Name,GA4 Parameter Mapping
SaaS,plan_select,event,string,Yes,User selected a plan,plan_select,{{Event}},event
SaaS,plan_select,plan_id,string,Yes,Selected plan ID,pro_monthly,{{DLV - plan_id}},plan_id
SaaS,plan_select,plan_name,string,No,Plan name,Pro Monthly,{{DLV - plan_name}},plan_name
SaaS,plan_select,billing_period,string,No,Billing period selected,monthly,{{DLV - billing_period}},billing_period
SaaS,feature_used,event,string,Yes,Feature usage tracked,feature_used,{{Event}},event
SaaS,feature_used,feature_id,string,Yes,Feature identifier,export_csv,{{DLV - feature_id}},feature_id
SaaS,feature_used,feature_name,string,No,Feature display name,CSV Export,{{DLV - feature_name}},feature_name
SaaS,feature_used,feature_category,string,No,Feature category,data_export,{{DLV - feature_category}},feature_category
SaaS,feature_used,usage_count,number,No,Number of times used,5,{{DLV - usage_count}},usage_count
SaaS,limit_reached,event,string,Yes,Usage limit reached,limit_reached,{{Event}},event
SaaS,limit_reached,limit_type,string,Yes,Type of limit,api_calls,{{DLV - limit_type}},limit_type
SaaS,limit_reached,current_usage,number,No,Current usage amount,1000,{{DLV - current_usage}},current_usage
SaaS,limit_reached,max_usage,number,No,Maximum allowed,1000,{{DLV - max_usage}},max_usage
SaaS,onboarding_start,event,string,Yes,Onboarding started,onboarding_start,{{Event}},event
SaaS,onboarding_step,event,string,Yes,Onboarding step completed,onboarding_step,{{Event}},event
SaaS,onboarding_step,onboarding_step,number,Yes,Step number,2,{{DLV - onboarding_step}},onboarding_step
SaaS,onboarding_step,onboarding_total_steps,number,No,Total steps,5,{{DLV - onboarding_total_steps}},onboarding_total_steps
SaaS,onboarding_step,onboarding_step_name,string,No,Step name,Connect Data Source,{{DLV - onboarding_step_name}},onboarding_step_name
SaaS,onboarding_complete,event,string,Yes,Onboarding completed,onboarding_complete,{{Event}},event
SaaS,invite_sent,event,string,Yes,Team invite sent,invite_sent,{{Event}},event
SaaS,invite_sent,invite_domain,string,No,Invitee email domain,company.com,{{DLV - invite_domain}},invite_domain
SaaS,invite_sent,invites_sent,number,No,Number of invites,3,{{DLV - invites_sent}},invites_sent
SaaS,invite_accepted,event,string,Yes,Team invite accepted,invite_accepted,{{Event}},event
SaaS,invite_accepted,team_size,number,No,New team size,5,{{DLV - team_size}},team_size
# ===========================================
# ERROR / EXCEPTION EVENTS
# ===========================================
Error,error,event,string,Yes,General error event,error,{{Event}},event
Error,error,error_message,string,Yes,Error description,Failed to load resource,{{DLV - error_message}},error_message
Error,error,error_type,string,No,Error classification,network,{{DLV - error_type}},error_type
Error,error,error_code,string,No,Error code,404,{{DLV - error_code}},error_code
Error,error,fatal,boolean,No,Whether error is blocking,false,{{DLV - fatal}},fatal
Error,exception,event,string,Yes,JavaScript exception,exception,{{Event}},event
Error,exception,error_message,string,Yes,Exception message,Cannot read property of undefined,{{DLV - error_message}},error_message
Error,exception,error_stack,string,No,Stack trace (truncated),Error: Cannot read...,{{DLV - error_stack}},error_stack
Error,exception,error_file,string,No,File where error occurred,app.js,{{DLV - error_file}},error_file
Error,exception,error_line,number,No,Line number,42,{{DLV - error_line}},error_line
Error,exception,error_column,number,No,Column number,15,{{DLV - error_column}},error_column
Error,exception,fatal,boolean,No,Whether error crashed app,true,{{DLV - fatal}},fatal
Error,api_error,event,string,Yes,API request error,api_error,{{Event}},event
Error,api_error,api_endpoint,string,Yes,API endpoint called,/api/users,{{DLV - api_endpoint}},api_endpoint
Error,api_error,http_method,string,No,HTTP method used,POST,{{DLV - http_method}},http_method
Error,api_error,error_code,string,No,HTTP status code,500,{{DLV - error_code}},error_code
Error,api_error,error_message,string,No,Error response message,Internal server error,{{DLV - error_message}},error_message
Error,api_error,request_id,string,No,Request ID for tracing,req_abc123,{{DLV - request_id}},request_id
Error,validation_error,event,string,Yes,Validation error occurred,validation_error,{{Event}},event
Error,validation_error,error_message,string,Yes,Validation message,Email is required,{{DLV - error_message}},error_message
Error,validation_error,field_name,string,No,Field that failed validation,email,{{DLV - field_name}},field_name
Error,page_not_found,event,string,Yes,404 page displayed,page_not_found,{{Event}},event
Error,page_not_found,error_url,string,Yes,URL that was not found,/nonexistent-page,{{DLV - error_url}},error_url
Error,permission_denied,event,string,Yes,Permission/access denied,permission_denied,{{Event}},event
Error,timeout,event,string,Yes,Request/operation timeout,timeout,{{Event}},event
Error,network_error,event,string,Yes,Network connectivity error,network_error,{{Event}},event
# ===========================================
# FILE / DOWNLOAD EVENTS
# ===========================================
File,file_download,event,string,Yes,File download initiated,file_download,{{Event}},event
File,file_download,file_name,string,Yes,Name of downloaded file,annual-report-2024.pdf,{{DLV - file_name}},file_name
File,file_download,file_extension,string,No,File extension,pdf,{{DLV - file_extension}},file_extension
File,file_download,file_type,string,No,File type category,document,{{DLV - file_type}},file_type
File,file_download,file_size_bytes,number,No,File size in bytes,2500000,{{DLV - file_size_bytes}},file_size_bytes
File,file_download,link_url,string,No,Download URL,/downloads/report.pdf,{{DLV - link_url}},link_url
File,file_download,link_text,string,No,Link text clicked,Download Report,{{DLV - link_text}},link_text
File,file_download,content_category,string,No,Content category,financial_reports,{{DLV - content_category}},content_category
File,file_download,is_gated,boolean,No,Whether download required form,false,{{DLV - is_gated}},is_gated
File,file_upload,event,string,Yes,File upload completed,file_upload,{{Event}},event
File,file_upload,file_name,string,Yes,Uploaded file name,profile-photo.jpg,{{DLV - file_name}},file_name
File,file_upload,file_extension,string,No,File extension,jpg,{{DLV - file_extension}},file_extension
File,file_upload,file_size_bytes,number,No,File size in bytes,500000,{{DLV - file_size_bytes}},file_size_bytes
File,file_upload,upload_source,string,No,Source: local/cloud/url,local,{{DLV - upload_source}},upload_source
File,file_upload,storage_destination,string,No,Destination storage,s3,{{DLV - storage_destination}},storage_destination
File,file_view,event,string,Yes,File/document viewed inline,file_view,{{Event}},event
File,file_view,file_name,string,Yes,Viewed file name,product-spec.pdf,{{DLV - file_name}},file_name
File,file_share,event,string,Yes,File shared,file_share,{{Event}},event
File,file_print,event,string,Yes,File/document printed,file_print,{{Event}},event
File,document_open,event,string,Yes,Document opened in app,document_open,{{Event}},event
File,document_save,event,string,Yes,Document saved,document_save,{{Event}},event
# ===========================================
# AUTHENTICATION EVENTS (Extended)
# ===========================================
Auth,logout,event,string,Yes,User logged out,logout,{{Event}},event
Auth,logout,method,string,No,Logout method,manual,{{DLV - method}},method
Auth,logout,session_duration_seconds,number,No,Session length in seconds,3600,{{DLV - session_duration_seconds}},session_duration_seconds
Auth,password_reset_request,event,string,Yes,Password reset requested,password_reset_request,{{Event}},event
Auth,password_reset_request,method,string,No,Reset method requested,email,{{DLV - method}},method
Auth,password_reset_complete,event,string,Yes,Password reset completed,password_reset_complete,{{Event}},event
Auth,password_change,event,string,Yes,Password changed,password_change,{{Event}},event
Auth,email_verification_sent,event,string,Yes,Verification email sent,email_verification_sent,{{Event}},event
Auth,email_verification_complete,event,string,Yes,Email verified,email_verification_complete,{{Event}},event
Auth,phone_verification_sent,event,string,Yes,Phone verification sent,phone_verification_sent,{{Event}},event
Auth,phone_verification_complete,event,string,Yes,Phone verified,phone_verification_complete,{{Event}},event
Auth,two_factor_enabled,event,string,Yes,2FA enabled,two_factor_enabled,{{Event}},event
Auth,two_factor_enabled,two_factor_method,string,No,2FA method: sms/email/authenticator_app/hardware_key,authenticator_app,{{DLV - two_factor_method}},two_factor_method
Auth,two_factor_disabled,event,string,Yes,2FA disabled,two_factor_disabled,{{Event}},event
Auth,two_factor_challenge,event,string,Yes,2FA challenge presented,two_factor_challenge,{{Event}},event
Auth,two_factor_success,event,string,Yes,2FA challenge succeeded,two_factor_success,{{Event}},event
Auth,two_factor_success,two_factor_method,string,No,Method used,authenticator_app,{{DLV - two_factor_method}},two_factor_method
Auth,two_factor_success,is_new_device,boolean,No,New device detected,true,{{DLV - is_new_device}},is_new_device
Auth,two_factor_failure,event,string,Yes,2FA challenge failed,two_factor_failure,{{Event}},event
Auth,two_factor_failure,attempt_count,number,No,Number of failed attempts,3,{{DLV - attempt_count}},attempt_count
Auth,session_start,event,string,Yes,User session started,session_start,{{Event}},event
Auth,session_start,remember_me,boolean,No,Remember me selected,true,{{DLV - remember_me}},remember_me
Auth,session_end,event,string,Yes,User session ended,session_end,{{Event}},event
Auth,session_end,session_duration_seconds,number,No,Session length,7200,{{DLV - session_duration_seconds}},session_duration_seconds
Auth,account_created,event,string,Yes,New account created,account_created,{{Event}},event
Auth,account_deleted,event,string,Yes,Account deleted,account_deleted,{{Event}},event
Auth,account_locked,event,string,Yes,Account locked,account_locked,{{Event}},event
Auth,account_locked,failure_reason,string,No,Reason for lock,too_many_attempts,{{DLV - failure_reason}},failure_reason
Auth,account_unlocked,event,string,Yes,Account unlocked,account_unlocked,{{Event}},event
Auth,profile_updated,event,string,Yes,Profile information updated,profile_updated,{{Event}},event
Auth,email_changed,event,string,Yes,Email address changed,email_changed,{{Event}},event
Auth,sso_login,event,string,Yes,SSO/SAML login,sso_login,{{Event}},event
Auth,sso_login,sso_provider,string,No,SSO provider name,okta,{{DLV - sso_provider}},sso_provider
# ===========================================
# ENGAGEMENT / INTERACTION EVENTS
# ===========================================
Engagement,scroll_depth,event,string,Yes,Scroll depth milestone,scroll_depth,{{Event}},event
Engagement,scroll_depth,percent_scrolled,number,Yes,Scroll percentage reached,50,{{DLV - percent_scrolled}},percent_scrolled
Engagement,scroll_depth,pixel_depth,number,No,Scroll depth in pixels,2400,{{DLV - pixel_depth}},pixel_depth
Engagement,scroll_depth,content_length,number,No,Total content length in pixels,4800,{{DLV - content_length}},content_length
Engagement,scroll_depth,time_to_reach_ms,number,No,Time to reach depth in ms,30000,{{DLV - time_to_reach_ms}},time_to_reach_ms
Engagement,time_on_page,event,string,Yes,Time on page milestone,time_on_page,{{Event}},event
Engagement,time_on_page,time_on_page_ms,number,Yes,Time spent in milliseconds,60000,{{DLV - time_on_page_ms}},time_on_page_ms
Engagement,engagement_time,event,string,Yes,Active engagement time,engagement_time,{{Event}},event
Engagement,engagement_time,engagement_time_ms,number,Yes,Active time in milliseconds,45000,{{DLV - engagement_time_ms}},engagement_time_ms
Engagement,content_consumed,event,string,Yes,Content consumption complete,content_consumed,{{Event}},event
Engagement,content_consumed,content_section,string,No,Section name completed,introduction,{{DLV - content_section}},content_section
Engagement,content_consumed,words_visible,number,No,Words read/viewed,500,{{DLV - words_visible}},words_visible
Engagement,click,event,string,Yes,Element clicked,click,{{Event}},event
Engagement,click,element_id,string,No,Element ID clicked,cta-button,{{DLV - element_id}},element_id
Engagement,click,element_classes,string,No,Element CSS classes,btn btn-primary,{{DLV - element_classes}},element_classes
Engagement,click,element_text,string,No,Element text content,Sign Up Now,{{DLV - element_text}},element_text
Engagement,hover,event,string,Yes,Element hovered,hover,{{Event}},event
Engagement,copy_text,event,string,Yes,Text copied to clipboard,copy_text,{{Event}},event
Engagement,print_page,event,string,Yes,Page printed,print_page,{{Event}},event
Engagement,tab_visible,event,string,Yes,Tab became visible,tab_visible,{{Event}},event
Engagement,tab_hidden,event,string,Yes,Tab became hidden,tab_hidden,{{Event}},event
Engagement,page_unload,event,string,Yes,Page about to unload,page_unload,{{Event}},event
Engagement,idle_timeout,event,string,Yes,User went idle,idle_timeout,{{Event}},event
Engagement,idle_timeout,idle_duration_seconds,number,No,Idle duration before trigger,300,{{DLV - idle_duration_seconds}},idle_duration_seconds
Engagement,return_from_idle,event,string,Yes,User returned from idle,return_from_idle,{{Event}},event
Engagement,return_from_idle,idle_duration_seconds,number,No,How long user was idle,600,{{DLV - idle_duration_seconds}},idle_duration_seconds
# ===========================================
# COMMUNICATION EVENTS
# ===========================================
Communication,chat_started,event,string,Yes,Chat conversation started,chat_started,{{Event}},event
Communication,chat_started,chat_id,string,No,Chat session identifier,chat_abc123,{{DLV - chat_id}},chat_id
Communication,chat_started,chat_type,string,No,Type: support/sales/general,support,{{DLV - chat_type}},chat_type
Communication,chat_started,is_chatbot,boolean,No,Whether chatbot initiated,false,{{DLV - is_chatbot}},is_chatbot
Communication,chat_started,department,string,No,Department/team,sales,{{DLV - department}},department
Communication,chat_message_sent,event,string,Yes,User sent message,chat_message_sent,{{Event}},event
Communication,chat_message_sent,chat_id,string,No,Chat session ID,chat_abc123,{{DLV - chat_id}},chat_id
Communication,chat_message_received,event,string,Yes,User received message,chat_message_received,{{Event}},event
Communication,chat_ended,event,string,Yes,Chat conversation ended,chat_ended,{{Event}},event
Communication,chat_ended,chat_id,string,No,Chat session ID,chat_abc123,{{DLV - chat_id}},chat_id
Communication,chat_ended,chat_duration_seconds,number,No,Chat duration in seconds,300,{{DLV - chat_duration_seconds}},chat_duration_seconds
Communication,chat_ended,message_count,number,No,Total messages exchanged,12,{{DLV - message_count}},message_count
Communication,chat_ended,issue_resolved,boolean,No,Whether issue was resolved,true,{{DLV - issue_resolved}},issue_resolved
Communication,chat_rated,event,string,Yes,Chat was rated,chat_rated,{{Event}},event
Communication,chat_rated,rating,number,No,Rating value (1-5),5,{{DLV - rating}},rating
Communication,chat_rated,rating_feedback,string,No,Optional feedback text,Very helpful!,{{DLV - rating_feedback}},rating_feedback
Communication,chatbot_interaction,event,string,Yes,Chatbot interaction,chatbot_interaction,{{Event}},event
Communication,notification_displayed,event,string,Yes,Notification shown,notification_displayed,{{Event}},event
Communication,notification_displayed,notification_id,string,No,Notification identifier,notif_123,{{DLV - notification_id}},notification_id
Communication,notification_displayed,notification_type,string,No,Type: promo/transactional/alert,promo,{{DLV - notification_type}},notification_type
Communication,notification_displayed,notification_title,string,No,Notification title,New Feature Available,{{DLV - notification_title}},notification_title
Communication,notification_displayed,notification_channel,string,No,Channel: push/in_app/email,in_app,{{DLV - notification_channel}},notification_channel
Communication,notification_clicked,event,string,Yes,Notification clicked,notification_clicked,{{Event}},event
Communication,notification_dismissed,event,string,Yes,Notification dismissed,notification_dismissed,{{Event}},event
Communication,notification_permission_granted,event,string,Yes,Push permission granted,notification_permission_granted,{{Event}},event
Communication,notification_permission_denied,event,string,Yes,Push permission denied,notification_permission_denied,{{Event}},event
Communication,email_link_clicked,event,string,Yes,Link in email clicked,email_link_clicked,{{Event}},event
Communication,email_link_clicked,email_id,string,No,Email campaign ID,email_abc123,{{DLV - email_id}},email_id
Communication,email_link_clicked,email_subject,string,No,Email subject line,Welcome to our newsletter,{{DLV - email_subject}},email_subject
Communication,email_link_clicked,campaign_id,string,No,Marketing campaign ID,camp_summer_2024,{{DLV - campaign_id}},campaign_id
Communication,sms_link_clicked,event,string,Yes,Link in SMS clicked,sms_link_clicked,{{Event}},event
Communication,push_notification_opened,event,string,Yes,Push notification opened app,push_notification_opened,{{Event}},event
Communication,in_app_message_displayed,event,string,Yes,In-app message shown,in_app_message_displayed,{{Event}},event
Communication,in_app_message_clicked,event,string,Yes,In-app message clicked,in_app_message_clicked,{{Event}},event
# ===========================================
# SOCIAL ENGAGEMENT EVENTS
# ===========================================
Social,social_share,event,string,Yes,Content shared socially,social_share,{{Event}},event
Social,social_share,share_method,string,No,Platform: twitter/facebook/linkedin/email/copy_link,twitter,{{DLV - share_method}},share_method
Social,social_share,content_type,string,No,Type of content shared,article,{{DLV - content_type}},content_type
Social,social_share,content_id,string,No,Content identifier,post_123,{{DLV - content_id}},content_id
Social,social_share,content_title,string,No,Content title,How to Use Our Product,{{DLV - content_title}},content_title
Social,social_share,share_url,string,No,Shared URL,https://example.com/article,{{DLV - share_url}},share_url
Social,social_follow,event,string,Yes,User followed account,social_follow,{{Event}},event
Social,social_follow,target_user_id,string,No,Followed user ID,user_123,{{DLV - target_user_id}},target_user_id
Social,social_follow,target_username,string,No,Followed username,@company,{{DLV - target_username}},target_username
Social,social_unfollow,event,string,Yes,User unfollowed,social_unfollow,{{Event}},event
Social,social_like,event,string,Yes,Content liked,social_like,{{Event}},event
Social,social_like,content_id,string,No,Liked content ID,post_123,{{DLV - content_id}},content_id
Social,social_unlike,event,string,Yes,Content unliked,social_unlike,{{Event}},event
Social,social_comment,event,string,Yes,Comment posted,social_comment,{{Event}},event
Social,social_comment,content_id,string,No,Content being commented on,post_123,{{DLV - content_id}},content_id
Social,social_comment,comment_id,string,No,New comment ID,comment_456,{{DLV - comment_id}},comment_id
Social,social_comment_reply,event,string,Yes,Reply to comment,social_comment_reply,{{Event}},event
Social,social_comment_reply,parent_comment_id,string,No,Parent comment ID,comment_123,{{DLV - parent_comment_id}},parent_comment_id
Social,social_mention,event,string,Yes,User mentioned,social_mention,{{Event}},event
Social,social_tag,event,string,Yes,User tagged,social_tag,{{Event}},event
Social,social_save,event,string,Yes,Content saved/bookmarked,social_save,{{Event}},event
Social,social_unsave,event,string,Yes,Content unsaved,social_unsave,{{Event}},event
Social,social_report,event,string,Yes,Content reported,social_report,{{Event}},event
Social,social_block,event,string,Yes,User blocked,social_block,{{Event}},event
Social,social_connect,event,string,Yes,Users connected,social_connect,{{Event}},event
Social,referral_link_created,event,string,Yes,Referral link generated,referral_link_created,{{Event}},event
Social,referral_link_created,referral_code,string,No,Unique referral code,REF123ABC,{{DLV - referral_code}},referral_code
Social,referral_link_shared,event,string,Yes,Referral link shared,referral_link_shared,{{Event}},event
Social,referral_link_shared,share_method,string,No,How link was shared,email,{{DLV - share_method}},share_method
Social,referral_signup,event,string,Yes,Referral signup completed,referral_signup,{{Event}},event
Social,referral_signup,referral_code,string,No,Referral code used,REF123ABC,{{DLV - referral_code}},referral_code
Social,referral_signup,referral_source,string,No,Source of referral,friend,{{DLV - referral_source}},referral_source
# ===========================================
# SEARCH / FILTER EVENTS
# ===========================================
Search/Filter,search_started,event,string,Yes,User started typing search,search_started,{{Event}},event
Search/Filter,search_started,search_term,string,No,Initial search text,wire,{{DLV - search_term}},search_term
Search/Filter,search_autocomplete,event,string,Yes,Autocomplete shown,search_autocomplete,{{Event}},event
Search/Filter,search_suggestion_clicked,event,string,Yes,Search suggestion clicked,search_suggestion_clicked,{{Event}},event
Search/Filter,search_suggestion_clicked,suggestion_selected,string,No,Selected suggestion,wireless headphones,{{DLV - suggestion_selected}},suggestion_selected
Search/Filter,search_suggestion_clicked,suggestion_position,number,No,Position in suggestion list,2,{{DLV - suggestion_position}},suggestion_position
Search/Filter,search_results_filtered,event,string,Yes,Search results filtered,search_results_filtered,{{Event}},event
Search/Filter,filter_applied,event,string,Yes,Filter applied to results,filter_applied,{{Event}},event
Search/Filter,filter_applied,filter_type,string,Yes,Type of filter,price_range,{{DLV - filter_type}},filter_type
Search/Filter,filter_applied,filter_value,string,Yes,Filter value selected,100-500,{{DLV - filter_value}},filter_value
Search/Filter,filter_applied,search_term,string,No,Active search query,wireless headphones,{{DLV - search_term}},search_term
Search/Filter,filter_applied,results_count,number,No,Results after filtering,42,{{DLV - results_count}},results_count
Search/Filter,filter_removed,event,string,Yes,Filter removed,filter_removed,{{Event}},event
Search/Filter,filter_removed,filter_type,string,Yes,Removed filter type,price_range,{{DLV - filter_type}},filter_type
Search/Filter,filter_cleared,event,string,Yes,All filters cleared,filter_cleared,{{Event}},event
Search/Filter,sort_applied,event,string,Yes,Sort order changed,sort_applied,{{Event}},event
Search/Filter,sort_applied,sort_field,string,Yes,Sort field,price,{{DLV - sort_field}},sort_field
Search/Filter,sort_applied,sort_direction,string,No,Direction: asc/desc,asc,{{DLV - sort_direction}},sort_direction
Search/Filter,facet_clicked,event,string,Yes,Search facet clicked,facet_clicked,{{Event}},event
Search/Filter,category_selected,event,string,Yes,Category selected,category_selected,{{Event}},event
Search/Filter,category_selected,category_id,string,No,Category identifier,cat_electronics,{{DLV - category_id}},category_id
Search/Filter,category_selected,category_name,string,No,Category name,Electronics,{{DLV - category_name}},category_name
Search/Filter,pagination,event,string,Yes,Page number changed,pagination,{{Event}},event
Search/Filter,pagination,page_number,number,Yes,Current page number,3,{{DLV - page_number}},page_number
Search/Filter,pagination,results_per_page,number,No,Results per page,24,{{DLV - results_per_page}},results_per_page
Search/Filter,load_more,event,string,Yes,Load more clicked,load_more,{{Event}},event
Search/Filter,load_more,results_count,number,No,Total results loaded,48,{{DLV - results_count}},results_count
Search/Filter,infinite_scroll_load,event,string,Yes,Infinite scroll loaded more,infinite_scroll_load,{{Event}},event
# ===========================================
# GAMING / GAMIFICATION EVENTS
# ===========================================
Gaming,achievement_unlocked,event,string,Yes,Achievement earned,achievement_unlocked,{{Event}},event
Gaming,achievement_unlocked,achievement_id,string,Yes,Achievement identifier,ach_first_purchase,{{DLV - achievement_id}},achievement_id
Gaming,achievement_unlocked,achievement_name,string,No,Achievement name,First Purchase,{{DLV - achievement_name}},achievement_name
Gaming,achievement_unlocked,achievement_category,string,No,Achievement category,purchases,{{DLV - achievement_category}},achievement_category
Gaming,achievement_unlocked,points_earned,number,No,Points awarded,100,{{DLV - points_earned}},points_earned
Gaming,badge_earned,event,string,Yes,Badge earned,badge_earned,{{Event}},event
Gaming,badge_earned,achievement_id,string,Yes,Badge identifier,badge_power_user,{{DLV - achievement_id}},achievement_id
Gaming,badge_earned,achievement_name,string,No,Badge name,Power User,{{DLV - achievement_name}},achievement_name
Gaming,quest_started,event,string,Yes,Quest/challenge started,quest_started,{{Event}},event
Gaming,quest_started,quest_id,string,Yes,Quest identifier,quest_onboarding,{{DLV - quest_id}},quest_id
Gaming,quest_started,quest_name,string,No,Quest name,Getting Started,{{DLV - quest_name}},quest_name
Gaming,quest_started,difficulty,string,No,Quest difficulty,easy,{{DLV - difficulty}},difficulty
Gaming,quest_completed,event,string,Yes,Quest completed,quest_completed,{{Event}},event
Gaming,quest_completed,quest_id,string,Yes,Quest identifier,quest_onboarding,{{DLV - quest_id}},quest_id
Gaming,quest_completed,time_to_complete_seconds,number,No,Completion time in seconds,3600,{{DLV - time_to_complete_seconds}},time_to_complete_seconds
Gaming,quest_completed,reward_type,string,No,Reward type,points,{{DLV - reward_type}},reward_type
Gaming,quest_completed,reward_value,number,No,Reward amount,500,{{DLV - reward_value}},reward_value
Gaming,quest_abandoned,event,string,Yes,Quest abandoned,quest_abandoned,{{Event}},event
Gaming,quest_abandoned,quest_id,string,Yes,Quest identifier,quest_advanced,{{DLV - quest_id}},quest_id
Gaming,quest_abandoned,completion_percent,number,No,Progress before abandoning,45,{{DLV - completion_percent}},completion_percent
Gaming,reward_claimed,event,string,Yes,Reward claimed,reward_claimed,{{Event}},event
Gaming,reward_claimed,reward_type,string,No,Type of reward,discount_code,{{DLV - reward_type}},reward_type
Gaming,reward_claimed,reward_value,number,No,Reward value,20,{{DLV - reward_value}},reward_value
Gaming,daily_login,event,string,Yes,Daily login bonus claimed,daily_login,{{Event}},event
Gaming,daily_login,streak_count,number,No,Current login streak,7,{{DLV - streak_count}},streak_count
Gaming,streak_achieved,event,string,Yes,Streak milestone reached,streak_achieved,{{Event}},event
Gaming,streak_achieved,streak_count,number,Yes,Streak count reached,30,{{DLV - streak_count}},streak_count
Gaming,streak_broken,event,string,Yes,Streak was broken,streak_broken,{{Event}},event
Gaming,streak_broken,streak_count,number,No,Streak count before break,15,{{DLV - streak_count}},streak_count
Gaming,leaderboard_view,event,string,Yes,Leaderboard viewed,leaderboard_view,{{Event}},event
Gaming,leaderboard_view,leaderboard_position,number,No,User's position,42,{{DLV - leaderboard_position}},leaderboard_position
Gaming,challenge_started,event,string,Yes,Challenge started,challenge_started,{{Event}},event
Gaming,challenge_completed,event,string,Yes,Challenge completed,challenge_completed,{{Event}},event
Gaming,pvp_match_started,event,string,Yes,PvP match started,pvp_match_started,{{Event}},event
Gaming,pvp_match_started,opponent_id,string,No,Opponent identifier,user_456,{{DLV - opponent_id}},opponent_id
Gaming,pvp_match_ended,event,string,Yes,PvP match ended,pvp_match_ended,{{Event}},event
Gaming,pvp_match_ended,match_result,string,No,Result: win/loss/draw,win,{{DLV - match_result}},match_result
Gaming,item_crafted,event,string,Yes,In-game item crafted,item_crafted,{{Event}},event
Gaming,item_traded,event,string,Yes,In-game item traded,item_traded,{{Event}},event
Gaming,level_up,event,string,Yes,User leveled up (GA4),level_up,{{Event}},event
Gaming,level_up,level,number,Yes,New level reached,5,{{DLV - level}},level
Gaming,level_up,total_points,number,No,Total accumulated points,5000,{{DLV - total_points}},total_points
Gaming,level_start,event,string,Yes,Game level started (GA4),level_start,{{Event}},event
Gaming,level_end,event,string,Yes,Game level ended (GA4),level_end,{{Event}},event
Gaming,post_score,event,string,Yes,Score posted (GA4),post_score,{{Event}},event
Gaming,post_score,score,number,Yes,Score value,10000,{{DLV - score}},score
